date,trips,avg_dist,avg_fare,avg_dur,revenue
2022-10-20,125002,3.49,14.98,18.0,2767251.0
2022-10-21,121337,3.61,15.08,17.8,2703409.0
2022-10-22,119842,3.46,14.33,16.1,2503002.0
2022-10-23,98596,4.11,15.5,15.5,2224084.0
2022-10-24,104208,3.61,14.54,16.0,2252996.0
2022-10-25,116194,3.42,14.46,16.6,2490202.0
2022-10-26,121677,3.49,14.93,17.7,2684908.0
2022-10-27,124826,3.52,15.27,18.6,2802542.0
2022-10-28,123570,3.48,14.81,17.5,2702006.0
2022-10-29,118177,3.38,14.35,16.2,2462680.0
2022-10-30,100285,3.96,15.18,15.3,2210639.0
2022-10-31,95594,3.58,14.47,15.6,2042204.0
2022-11-01,113072,3.47,14.58,16.8,2444429.0
2022-11-02,119132,3.33,14.39,16.9,2544344.0
2022-11-03,124057,3.44,14.81,17.6,2718712.0
2022-11-04,123347,3.42,14.48,16.9,2652854.0
2022-11-05,122994,3.32,14.16,16.1,2537408.0
2022-11-06,96889,4.0,15.27,15.1,2158833.0
2022-11-07,105881,3.75,15.05,16.6,2360369.0
2022-11-08,114595,3.31,13.95,15.7,2364002.0
2022-11-09,121561,3.3,14.51,17.4,2617569.0
2022-11-10,125027,3.43,15.0,18.2,2771686.0
2022-11-11,109700,3.5,15.09,17.9,2416895.0
2022-11-12,122881,3.31,14.11,15.9,2534004.0
2022-11-13,105973,4.03,15.32,15.4,2372426.0
2022-11-14,79198,3.74,15.06,16.6,1772060.0
2022-11-15,86552,3.39,14.68,17.3,1888253.0
2022-11-16,88650,3.4,14.8,17.6,1948208.0
2022-11-17,91118,3.52,15.06,17.9,2033079.0
2022-11-18,90752,3.44,14.52,16.9,1960657.0
2022-11-19,89601,3.37,14.2,15.9,1861668.0
2022-11-20,76477,3.81,14.73,14.7,1646714.0
2022-11-21,101486,3.39,14.21,16.2,2136725.0
2022-11-22,107074,3.3,14.36,17.2,2270936.0
2022-11-23,99144,3.33,14.19,16.3,2075690.0
2022-11-24,64369,3.59,13.7,13.0,1285920.0
2022-11-25,81721,3.49,13.77,13.7,1671991.0
2022-11-26,94667,3.81,14.98,15.4,2053332.0
2022-11-27,84923,4.34,15.92,15.5,1963621.0
2022-11-28,101078,4.06,15.56,16.4,2320682.0
2022-11-29,112979,3.52,14.69,16.7,2460853.0
2022-11-30,110430,3.42,14.91,17.6,2428754.0
2022-12-01,123281,3.5,15.41,18.4,2787906.0
2022-12-02,122472,3.41,14.77,17.2,2671013.0
2022-12-03,120662,3.25,14.12,16.0,2483978.0
2022-12-04,104411,4.01,15.75,16.1,2381242.0
2022-12-05,107475,3.71,15.22,16.7,2414312.0
2022-12-06,112145,3.39,15.35,18.7,2528572.0
2022-12-07,118077,3.5,15.53,18.7,2694830.0
2022-12-08,126318,3.56,15.84,19.2,2929594.0
